job_id,job_role,required_skills,experience_required,job_location,employment_type,salary_range_lpa,job_description
910,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",6,Delhi,Contract,10-32,"We are hiring a AI Engineer with 6+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
911,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",2,Pune,Full-Time,5-29,"We are hiring a Data Scientist with 2+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
912,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",10,Remote,Contract,8-13,"We are hiring a Frontend Developer with 10+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
913,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",5,Hyderabad,Contract,5-25,"We are hiring a AI Engineer with 5+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
914,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",8,Pune,Contract,10-32,"We are hiring a Frontend Developer with 8+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
915,Software Engineer,"Java, C++, Git, Linux, Problem Solving",0,Delhi,Full-Time,9-30,"We are hiring a Software Engineer with 0+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
916,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",1,Pune,Internship,6-12,"We are hiring a Data Analyst with 1+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
917,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",4,Hyderabad,Full-Time,4-17,"We are hiring a AI Engineer with 4+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
918,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",4,Bangalore,Internship,10-20,"We are hiring a ML Engineer with 4+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
919,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",9,Remote,Internship,9-14,"We are hiring a Data Scientist with 9+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
920,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",4,Bangalore,Contract,8-33,"We are hiring a Cloud Engineer with 4+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
921,Software Engineer,"Java, C++, Git, Linux, Problem Solving",7,Remote,Contract,7-31,"We are hiring a Software Engineer with 7+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
922,Software Engineer,"Java, C++, Git, Linux, Problem Solving",7,Bangalore,Full-Time,9-20,"We are hiring a Software Engineer with 7+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
923,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",7,Remote,Contract,9-32,"We are hiring a Data Analyst with 7+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
924,Backend Developer,"Python, Java, APIs, SQL, Docker",2,Hyderabad,Full-Time,10-16,"We are hiring a Backend Developer with 2+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
925,Backend Developer,"Python, Java, APIs, SQL, Docker",5,Delhi,Internship,6-22,"We are hiring a Backend Developer with 5+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
926,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",5,Remote,Contract,4-21,"We are hiring a Full Stack Developer with 5+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
927,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",0,Remote,Contract,6-14,"We are hiring a Data Scientist with 0+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
928,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Remote,Contract,9-19,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
929,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Delhi,Internship,10-17,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
930,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",5,Pune,Internship,5-17,"We are hiring a ML Engineer with 5+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
931,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",4,Hyderabad,Contract,9-16,"We are hiring a Data Analyst with 4+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
932,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",3,Hyderabad,Full-Time,4-14,"We are hiring a AI Engineer with 3+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
933,Software Engineer,"Java, C++, Git, Linux, Problem Solving",0,Hyderabad,Full-Time,4-30,"We are hiring a Software Engineer with 0+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
934,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",6,Hyderabad,Contract,4-22,"We are hiring a AI Engineer with 6+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
935,Software Engineer,"Java, C++, Git, Linux, Problem Solving",6,Pune,Full-Time,6-16,"We are hiring a Software Engineer with 6+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
936,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",0,Hyderabad,Full-Time,6-32,"We are hiring a Data Scientist with 0+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
937,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Pune,Internship,9-16,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
938,Backend Developer,"Python, Java, APIs, SQL, Docker",6,Remote,Internship,9-13,"We are hiring a Backend Developer with 6+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
939,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",9,Delhi,Internship,6-32,"We are hiring a Data Analyst with 9+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
940,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",3,Hyderabad,Contract,5-25,"We are hiring a AI Engineer with 3+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
941,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",10,Remote,Full-Time,4-22,"We are hiring a Cloud Engineer with 10+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
942,Backend Developer,"Python, Java, APIs, SQL, Docker",8,Hyderabad,Internship,7-18,"We are hiring a Backend Developer with 8+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
943,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",6,Delhi,Internship,9-33,"We are hiring a Frontend Developer with 6+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
944,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",4,Delhi,Contract,8-14,"We are hiring a Full Stack Developer with 4+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
945,Software Engineer,"Java, C++, Git, Linux, Problem Solving",6,Pune,Full-Time,4-18,"We are hiring a Software Engineer with 6+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
946,Software Engineer,"Java, C++, Git, Linux, Problem Solving",1,Bangalore,Contract,10-32,"We are hiring a Software Engineer with 1+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
947,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",6,Bangalore,Internship,8-32,"We are hiring a Full Stack Developer with 6+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
948,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",7,Delhi,Full-Time,5-14,"We are hiring a Frontend Developer with 7+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
949,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",2,Delhi,Full-Time,5-32,"We are hiring a Cloud Engineer with 2+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
950,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Delhi,Full-Time,6-25,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
951,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",7,Bangalore,Full-Time,8-34,"We are hiring a Data Analyst with 7+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
952,Software Engineer,"Java, C++, Git, Linux, Problem Solving",2,Delhi,Full-Time,8-26,"We are hiring a Software Engineer with 2+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
953,Backend Developer,"Python, Java, APIs, SQL, Docker",2,Pune,Contract,6-24,"We are hiring a Backend Developer with 2+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
954,Backend Developer,"Python, Java, APIs, SQL, Docker",7,Bangalore,Full-Time,6-27,"We are hiring a Backend Developer with 7+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
955,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Bangalore,Contract,7-22,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
956,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",8,Hyderabad,Internship,10-27,"We are hiring a ML Engineer with 8+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
957,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",7,Pune,Full-Time,9-33,"We are hiring a ML Engineer with 7+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
958,Backend Developer,"Python, Java, APIs, SQL, Docker",8,Delhi,Internship,6-23,"We are hiring a Backend Developer with 8+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
959,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",7,Hyderabad,Internship,10-27,"We are hiring a Data Analyst with 7+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
960,Software Engineer,"Java, C++, Git, Linux, Problem Solving",3,Bangalore,Contract,5-19,"We are hiring a Software Engineer with 3+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
961,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",7,Delhi,Contract,6-20,"We are hiring a Cloud Engineer with 7+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
962,Software Engineer,"Java, C++, Git, Linux, Problem Solving",0,Bangalore,Internship,8-27,"We are hiring a Software Engineer with 0+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
963,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",3,Hyderabad,Full-Time,4-24,"We are hiring a Data Scientist with 3+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
964,Backend Developer,"Python, Java, APIs, SQL, Docker",9,Hyderabad,Internship,4-25,"We are hiring a Backend Developer with 9+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
965,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",1,Hyderabad,Contract,9-26,"We are hiring a Cloud Engineer with 1+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
966,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",6,Delhi,Full-Time,6-25,"We are hiring a AI Engineer with 6+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
967,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Bangalore,Full-Time,10-24,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
968,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",10,Pune,Full-Time,10-24,"We are hiring a Full Stack Developer with 10+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
969,Software Engineer,"Java, C++, Git, Linux, Problem Solving",6,Remote,Internship,10-21,"We are hiring a Software Engineer with 6+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
970,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",8,Delhi,Internship,7-22,"We are hiring a Frontend Developer with 8+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
971,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",6,Hyderabad,Full-Time,6-15,"We are hiring a AI Engineer with 6+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
972,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",8,Bangalore,Contract,7-26,"We are hiring a Data Analyst with 8+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
973,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",5,Delhi,Internship,10-35,"We are hiring a Data Scientist with 5+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
974,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",1,Delhi,Internship,10-34,"We are hiring a Frontend Developer with 1+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
975,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",0,Delhi,Internship,7-35,"We are hiring a Frontend Developer with 0+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
976,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",4,Bangalore,Internship,6-31,"We are hiring a AI Engineer with 4+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
977,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",1,Bangalore,Internship,4-33,"We are hiring a Cloud Engineer with 1+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
978,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",5,Remote,Internship,6-20,"We are hiring a Frontend Developer with 5+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
979,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",2,Remote,Internship,4-31,"We are hiring a Full Stack Developer with 2+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
980,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",0,Hyderabad,Full-Time,6-26,"We are hiring a Frontend Developer with 0+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
981,Software Engineer,"Java, C++, Git, Linux, Problem Solving",7,Delhi,Contract,8-23,"We are hiring a Software Engineer with 7+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
982,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",1,Remote,Internship,9-20,"We are hiring a Data Scientist with 1+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
983,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",0,Remote,Full-Time,5-35,"We are hiring a Cloud Engineer with 0+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
984,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",8,Delhi,Full-Time,4-33,"We are hiring a ML Engineer with 8+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
985,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",0,Bangalore,Full-Time,6-35,"We are hiring a AI Engineer with 0+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
986,Backend Developer,"Python, Java, APIs, SQL, Docker",6,Remote,Full-Time,5-16,"We are hiring a Backend Developer with 6+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
987,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",2,Remote,Internship,4-20,"We are hiring a Data Scientist with 2+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
988,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",9,Remote,Contract,10-12,"We are hiring a Data Scientist with 9+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
989,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",2,Pune,Contract,8-32,"We are hiring a AI Engineer with 2+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
990,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",10,Bangalore,Contract,9-33,"We are hiring a Cloud Engineer with 10+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
991,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",1,Bangalore,Contract,4-23,"We are hiring a Data Scientist with 1+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
992,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",10,Remote,Full-Time,6-22,"We are hiring a Data Analyst with 10+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
993,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",9,Pune,Full-Time,10-25,"We are hiring a Full Stack Developer with 9+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
994,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",9,Hyderabad,Full-Time,10-19,"We are hiring a ML Engineer with 9+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
995,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",9,Remote,Contract,6-25,"We are hiring a Data Analyst with 9+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
996,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",9,Delhi,Full-Time,4-34,"We are hiring a AI Engineer with 9+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
997,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Hyderabad,Contract,6-34,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
998,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",9,Remote,Full-Time,10-21,"We are hiring a Full Stack Developer with 9+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
999,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",1,Remote,Full-Time,5-31,"We are hiring a Data Analyst with 1+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1000,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",8,Hyderabad,Internship,4-29,"We are hiring a Full Stack Developer with 8+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1001,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",5,Remote,Contract,7-20,"We are hiring a Data Analyst with 5+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1002,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",8,Pune,Internship,10-32,"We are hiring a AI Engineer with 8+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1003,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",1,Delhi,Full-Time,9-19,"We are hiring a Data Analyst with 1+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1004,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",9,Remote,Internship,10-27,"We are hiring a Frontend Developer with 9+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
1005,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",9,Pune,Full-Time,6-17,"We are hiring a Full Stack Developer with 9+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1006,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",4,Hyderabad,Full-Time,10-13,"We are hiring a Frontend Developer with 4+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
1007,Software Engineer,"Java, C++, Git, Linux, Problem Solving",3,Hyderabad,Contract,8-27,"We are hiring a Software Engineer with 3+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1008,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",6,Hyderabad,Contract,7-25,"We are hiring a Frontend Developer with 6+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
1009,Software Engineer,"Java, C++, Git, Linux, Problem Solving",7,Bangalore,Contract,10-15,"We are hiring a Software Engineer with 7+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1010,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Bangalore,Full-Time,9-13,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
1011,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",5,Bangalore,Full-Time,7-17,"We are hiring a Data Analyst with 5+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1012,Software Engineer,"Java, C++, Git, Linux, Problem Solving",2,Delhi,Internship,9-32,"We are hiring a Software Engineer with 2+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1013,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Remote,Internship,7-29,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1014,Backend Developer,"Python, Java, APIs, SQL, Docker",6,Hyderabad,Full-Time,10-19,"We are hiring a Backend Developer with 6+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
1015,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",5,Bangalore,Contract,6-31,"We are hiring a Data Scientist with 5+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1016,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",3,Remote,Contract,8-35,"We are hiring a Data Analyst with 3+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1017,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",7,Hyderabad,Full-Time,8-24,"We are hiring a Data Scientist with 7+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1018,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",0,Remote,Internship,10-30,"We are hiring a Data Scientist with 0+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1019,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",5,Pune,Full-Time,10-12,"We are hiring a AI Engineer with 5+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1020,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Bangalore,Full-Time,5-23,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1021,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",10,Pune,Internship,8-35,"We are hiring a Full Stack Developer with 10+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1022,Software Engineer,"Java, C++, Git, Linux, Problem Solving",4,Delhi,Internship,6-12,"We are hiring a Software Engineer with 4+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1023,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",8,Delhi,Full-Time,10-24,"We are hiring a Cloud Engineer with 8+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
1024,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Hyderabad,Contract,6-14,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1025,Software Engineer,"Java, C++, Git, Linux, Problem Solving",8,Bangalore,Internship,5-14,"We are hiring a Software Engineer with 8+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1026,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",10,Hyderabad,Contract,9-25,"We are hiring a Data Analyst with 10+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1027,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",1,Remote,Internship,8-25,"We are hiring a AI Engineer with 1+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1028,Software Engineer,"Java, C++, Git, Linux, Problem Solving",5,Remote,Full-Time,7-25,"We are hiring a Software Engineer with 5+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1029,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",4,Remote,Contract,10-29,"We are hiring a Data Analyst with 4+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1030,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",7,Remote,Full-Time,8-21,"We are hiring a Full Stack Developer with 7+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1031,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",3,Bangalore,Full-Time,7-31,"We are hiring a Data Analyst with 3+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1032,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",5,Bangalore,Full-Time,7-32,"We are hiring a AI Engineer with 5+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1033,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",10,Pune,Full-Time,6-26,"We are hiring a Full Stack Developer with 10+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1034,Software Engineer,"Java, C++, Git, Linux, Problem Solving",1,Hyderabad,Internship,9-13,"We are hiring a Software Engineer with 1+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1035,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",9,Pune,Full-Time,8-27,"We are hiring a ML Engineer with 9+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
1036,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",0,Pune,Contract,6-22,"We are hiring a AI Engineer with 0+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
1037,Software Engineer,"Java, C++, Git, Linux, Problem Solving",10,Hyderabad,Full-Time,7-32,"We are hiring a Software Engineer with 10+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
1038,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",0,Hyderabad,Internship,5-14,"We are hiring a Data Analyst with 0+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
1039,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",2,Hyderabad,Full-Time,10-16,"We are hiring a Cloud Engineer with 2+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
1040,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",5,Hyderabad,Internship,9-25,"We are hiring a Frontend Developer with 5+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
1041,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Delhi,Full-Time,7-14,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
1042,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",8,Hyderabad,Full-Time,4-16,"We are hiring a Full Stack Developer with 8+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
1043,Backend Developer,"Python, Java, APIs, SQL, Docker",3,Bangalore,Contract,6-23,"We are hiring a Backend Developer with 3+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
1044,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",6,Hyderabad,Full-Time,7-16,"We are hiring a Data Scientist with 6+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1045,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",2,Remote,Internship,5-12,"We are hiring a Data Scientist with 2+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1046,Backend Developer,"Python, Java, APIs, SQL, Docker",2,Hyderabad,Full-Time,10-12,"We are hiring a Backend Developer with 2+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
1047,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Hyderabad,Contract,4-24,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
1048,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Delhi,Contract,4-31,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
